"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2,"1","2025-01-27T13:30:25.269188Z",1,"[{""start"":0,""end"":12,""text"":""Sanjay Singh"",""labels"":[""PROPN""]},{""start"":13,""end"":15,""text"":""की"",""labels"":[""ADP""]},{""start"":16,""end"":29,""text"":""Narendra Modi"",""labels"":[""PROPN""]},{""start"":30,""end"":32,""text"":""को"",""labels"":[""ADP""]},{""start"":33,""end"":36,""text"":""दो "",""labels"":[""NUM""]},{""start"":36,""end"":39,""text"":""टूक"",""labels"":[""NOUN""]},{""start"":39,""end"":41,""text"":"", "",""labels"":[""X""]},{""start"":41,""end"":42,""text"":""\"""",""labels"":[""X""]},{""start"":42,""end"":45,""text"":""इस "",""labels"":[""DET""]},{""start"":45,""end"":49,""text"":""जन्म"",""labels"":[""NOUN""]},{""start"":50,""end"":52,""text"":""तो"",""labels"":[""PART""]},{""start"":53,""end"":57,""text"":""क्या"",""labels"":[""PRON_WH""]},{""start"":58,""end"":63,""text"":""पिछले"",""labels"":[""ADJ""]},{""start"":64,""end"":68,""text"":""जन्म"",""labels"":[""NOUN""]},{""start"":69,""end"":72,""text"":""के "",""labels"":[""ADP""]},{""start"":72,""end"":74,""text"":""भी"",""labels"":[""PART""]},{""start"":74,""end"":76,""text"":"".."",""labels"":[""X""]},{""start"":76,""end"":78,""text"":""\"" "",""labels"":[""X""]},{""start"":78,""end"":79,""text"":""#"",""labels"":[""X""]},{""start"":79,""end"":90,""text"":""sanjaysingh"",""labels"":[""X""]},{""start"":91,""end"":98,""text"":""#shorts"",""labels"":[""X""]}]",676.7939999999999,"Sanjay Singh की Narendra Modi को दो टूक, ""इस जन्म तो क्या पिछले जन्म के भी.."" #sanjaysingh #shorts","2025-01-27T13:42:21.678779Z"
3,"1","2025-01-27T13:55:23.983508Z",2,"[{""start"":0,""end"":2,""text"":""एक"",""labels"":[""NUM""]},{""start"":3,""end"":5,""text"":""और"",""labels"":[""CONJ""]},{""start"":6,""end"":9,""text"":""AAP"",""labels"":[""PROPN""]},{""start"":15,""end"":32,""text"":""Saurabh Bharadwaj"",""labels"":[""PROPN""]},{""start"":10,""end"":14,""text"":""नेता"",""labels"":[""NOUN""]},{""start"":33,""end"":35,""text"":""ने"",""labels"":[""ADP""]},{""start"":36,""end"":41,""text"":""दिखाई"",""labels"":[""VERB""]},{""start"":42,""end"":46,""text"":""अपनी"",""labels"":[""PRON""]},{""start"":47,""end"":54,""text"":""Degree "",""labels"":[""NOUN""]},{""start"":54,""end"":55,""text"":""🔥"",""labels"":[""X""]},{""start"":58,""end"":71,""text"":""Narendra Modi"",""labels"":[""PROPN""]}]",243.573,"एक और AAP नेता Saurabh Bharadwaj ने दिखाई अपनी Degree 🔥 | Narendra Modi","2025-01-27T13:55:23.983508Z"
4,"1","2025-01-27T14:00:06.629225Z",3,"[{""start"":0,""end"":2,""text"":""ED"",""labels"":[""PROPN""]},{""start"":3,""end"":5,""text"":""की"",""labels"":[""ADP""]},{""start"":6,""end"":10,""text"":""Fake"",""labels"":[""ADJ""]},{""start"":11,""end"":22,""text"":""Chargesheet"",""labels"":[""NOUN""]},{""start"":23,""end"":25,""text"":""से"",""labels"":[""ADP""]},{""start"":26,""end"":38,""text"":""Sanjay Singh"",""labels"":[""PROPN""]},{""start"":38,""end"":41,""text"":"" ने"",""labels"":[""ADP""]},{""start"":42,""end"":47,""text"":""Modi "",""labels"":[""PROPN""]},{""start"":47,""end"":49,""text"":""को"",""labels"":[""ADP""]},{""start"":50,""end"":54,""text"":""किया"",""labels"":[""VERB""]},{""start"":55,""end"":61,""text"":""EXPOSE"",""labels"":[""VERB""]},{""start"":62,""end"":64,""text"":""| "",""labels"":[""X""]},{""start"":64,""end"":79,""text"":""Aam Aadmi Party"",""labels"":[""PROPN""]}]",280.429,"ED की Fake Chargesheet से Sanjay Singh ने Modi को किया EXPOSE | Aam Aadmi Party","2025-01-27T14:00:06.629225Z"
5,"1","2025-01-27T14:02:22.066154Z",4,"[{""start"":0,""end"":15,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":16,""end"":18,""text"":""से"",""labels"":[""ADP""]},{""start"":19,""end"":24,""text"":""मिलने"",""labels"":[""VERB""]},{""start"":25,""end"":31,""text"":""पहुंचे"",""labels"":[""VERB""]},{""start"":32,""end"":44,""text"":""Nitish Kumar"",""labels"":[""PROPN""]},{""start"":45,""end"":47,""text"":""ने"",""labels"":[""ADP""]},{""start"":48,""end"":64,""text"":""Opposition Unity"",""labels"":[""NOUN""]},{""start"":65,""end"":68,""text"":""पर "",""labels"":[""ADP""]},{""start"":68,""end"":72,""text"":""क्या"",""labels"":[""PRON_WH""]},{""start"":73,""end"":76,""text"":""कहा"",""labels"":[""VERB""]},{""start"":76,""end"":77,""text"":""?"",""labels"":[""X""]},{""start"":78,""end"":79,""text"":""|"",""labels"":[""X""]},{""start"":80,""end"":95,""text"":""Aam Aadmi Party"",""labels"":[""PROPN""]}]",133.973,"Arvind Kejriwal से मिलने पहुंचे Nitish Kumar ने Opposition Unity पर क्या कहा? | Aam Aadmi Party","2025-01-27T14:02:22.066154Z"
6,"1","2025-01-27T14:04:56.902045Z",5,"[{""start"":0,""end"":2,""text"":""एक"",""labels"":[""NUM""]},{""start"":3,""end"":5,""text"":""और"",""labels"":[""CONJ""]},{""start"":6,""end"":9,""text"":""AAP"",""labels"":[""PROPN""]},{""start"":10,""end"":14,""text"":""नेता"",""labels"":[""NOUN""]},{""start"":15,""end"":27,""text"":""Jasmine Shah"",""labels"":[""PROPN""]},{""start"":28,""end"":30,""text"":""ने"",""labels"":[""ADP""]},{""start"":31,""end"":47,""text"":""Press Conference"",""labels"":[""NOUN""]},{""start"":48,""end"":51,""text"":""में"",""labels"":[""ADP""]},{""start"":52,""end"":57,""text"":""दिखा "",""labels"":[""VERB""]},{""start"":57,""end"":59,""text"":""दी"",""labels"":[""PART""]},{""start"":60,""end"":64,""text"":""अपनी"",""labels"":[""PRON""]},{""start"":65,""end"":71,""text"":""Degree"",""labels"":[""NOUN""]},{""start"":72,""end"":73,""text"":""🔥"",""labels"":[""X""]},{""start"":73,""end"":76,""text"":"" | "",""labels"":[""X""]},{""start"":76,""end"":89,""text"":""Narendra Modi"",""labels"":[""PROPN""]}]",152.533,"एक और AAP नेता Jasmine Shah ने Press Conference में दिखा दी अपनी Degree 🔥 | Narendra Modi","2025-01-27T14:04:56.902045Z"
7,"1","2025-01-27T14:07:30.168825Z",6,"[{""start"":0,""end"":21,""text"":""LG Vinai Kumar Saxena"",""labels"":[""PROPN""]},{""start"":22,""end"":25,""text"":""की "",""labels"":[""ADP""]},{""start"":25,""end"":30,""text"":""कौनसी"",""labels"":[""PRON_WH""]},{""start"":31,""end"":34,""text"":""बात"",""labels"":[""NOUN""]},{""start"":35,""end"":37,""text"":""पर"",""labels"":[""ADP""]},{""start"":38,""end"":56,""text"":""Saurabh Bharadwaj "",""labels"":[""PROPN""]},{""start"":56,""end"":59,""text"":""को "",""labels"":[""ADP""]},{""start"":59,""end"":63,""text"":""हंसी"",""labels"":[""NOUN""]},{""start"":64,""end"":66,""text"":""आ "",""labels"":[""VERB""]},{""start"":66,""end"":69,""text"":""गई "",""labels"":[""PART""]},{""start"":69,""end"":70,""text"":""🤣"",""labels"":[""X""]},{""start"":77,""end"":79,""text"":""Vs"",""labels"":[""X""]},{""start"":71,""end"":73,""text"":""| "",""labels"":[""X""]},{""start"":73,""end"":77,""text"":""AAP "",""labels"":[""PROPN""]},{""start"":80,""end"":83,""text"":""BJP"",""labels"":[""PROPN""]}]",151.916,"LG Vinai Kumar Saxena की कौनसी बात पर Saurabh Bharadwaj को हंसी आ गई 🤣 | AAP Vs BJP","2025-01-27T14:07:30.168825Z"
8,"1","2025-01-27T14:10:25.023986Z",7,"[{""start"":0,""end"":6,""text"":""Atishi"",""labels"":[""PROPN""]},{""start"":7,""end"":9,""text"":""ने"",""labels"":[""ADP""]},{""start"":10,""end"":14,""text"":""अपनी"",""labels"":[""PRON""]},{""start"":15,""end"":17,""text"":""DU"",""labels"":[""PROPN""]},{""start"":21,""end"":27,""text"":""Oxford"",""labels"":[""PROPN""]},{""start"":18,""end"":20,""text"":""और"",""labels"":[""CONJ""]},{""start"":28,""end"":30,""text"":""की"",""labels"":[""ADP""]},{""start"":31,""end"":37,""text"":""Degree"",""labels"":[""NOUN""]},{""start"":38,""end"":44,""text"":""दिखाकर"",""labels"":[""VERB""]},{""start"":45,""end"":49,""text"":""शुरू"",""labels"":[""VERB""]},{""start"":50,""end"":54,""text"":""किया"",""labels"":[""PART""]},{""start"":55,""end"":56,""text"":""'"",""labels"":[""X""]},{""start"":56,""end"":75,""text"":""Degree दिखाओ अभियान"",""labels"":[""NOUN""]},{""start"":75,""end"":76,""text"":""'"",""labels"":[""X""]},{""start"":77,""end"":78,""text"":""|"",""labels"":[""X""]},{""start"":79,""end"":92,""text"":""Narendra Modi"",""labels"":[""PROPN""]}]",173.11,"Atishi ने अपनी DU और Oxford की Degree दिखाकर शुरू किया 'Degree दिखाओ अभियान' | Narendra Modi","2025-01-27T14:10:25.023986Z"
10,"1","2025-01-27T14:16:22.025888Z",8,"[{""start"":0,""end"":14,""text"":""Manish Sisodia"",""labels"":[""PROPN""]},{""start"":15,""end"":17,""text"":""के"",""labels"":[""ADP""]},{""start"":18,""end"":24,""text"":""Arrest"",""labels"":[""NOUN""]},{""start"":25,""end"":27,""text"":""पर"",""labels"":[""ADP""]},{""start"":28,""end"":43,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":43,""end"":46,""text"":"" ने"",""labels"":[""ADP""]},{""start"":47,""end"":52,""text"":""क्या "",""labels"":[""PRON_WH""]},{""start"":52,""end"":54,""text"":""कह"",""labels"":[""VERB""]},{""start"":55,""end"":59,""text"":""दिया"",""labels"":[""PART""]},{""start"":59,""end"":61,""text"":""? "",""labels"":[""X""]},{""start"":61,""end"":62,""text"":""|"",""labels"":[""X""]},{""start"":63,""end"":95,""text"":""#aamaadmiparty #kejriwal #shorts"",""labels"":[""X""]}]",52.813,"Manish Sisodia के Arrest पर Arvind Kejriwal ने क्या कह दिया? | #aamaadmiparty #kejriwal #shorts","2025-01-27T14:16:22.025888Z"
11,"1","2025-01-27T14:17:56.306342Z",9,"[{""start"":0,""end"":15,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":16,""end"":18,""text"":""ने"",""labels"":[""ADP""]},{""start"":19,""end"":36,""text"":""Delhi Govt School"",""labels"":[""PROPN""]},{""start"":37,""end"":39,""text"":""पर"",""labels"":[""ADP""]},{""start"":40,""end"":43,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":44,""end"":46,""text"":""को"",""labels"":[""ADP""]},{""start"":47,""end"":51,""text"":""दिया"",""labels"":[""VERB""]},{""start"":52,""end"":66,""text"":""OPEN CHALLENGE"",""labels"":[""NOUN""]},{""start"":67,""end"":68,""text"":""|"",""labels"":[""X""]},{""start"":69,""end"":72,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":73,""end"":78,""text"":""वालो "",""labels"":[""PRON""]},{""start"":78,""end"":80,""text"":""की"",""labels"":[""ADP""]},{""start"":81,""end"":83,""text"":""उड़"",""labels"":[""VERB""]},{""start"":84,""end"":87,""text"":""गयी"",""labels"":[""PART""]},{""start"":88,""end"":93,""text"":""नींद "",""labels"":[""NOUN""]},{""start"":93,""end"":97,""text"":""⚡️⚡️"",""labels"":[""X""]}]",86.761,"Arvind Kejriwal ने Delhi Govt School पर BJP को दिया OPEN CHALLENGE | BJP वालो की उड़ गयी नींद ⚡️⚡️","2025-01-27T14:17:56.306342Z"
12,"1","2025-01-27T14:19:36.420879Z",10,"[{""start"":0,""end"":2,""text"":""CM"",""labels"":[""NOUN""]},{""start"":3,""end"":18,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":19,""end"":22,""text"":""ने "",""labels"":[""ADP""]},{""start"":22,""end"":27,""text"":""Delhi"",""labels"":[""PROPN""]},{""start"":28,""end"":30,""text"":""के"",""labels"":[""ADP""]},{""start"":31,""end"":47,""text"":""East Vinod Nagar"",""labels"":[""PROPN""]},{""start"":47,""end"":51,""text"":"" में"",""labels"":[""ADP""]},{""start"":52,""end"":54,""text"":""नई"",""labels"":[""ADJ""]},{""start"":55,""end"":70,""text"":""School Building"",""labels"":[""NOUN""]},{""start"":71,""end"":73,""text"":""का"",""labels"":[""ADP""]},{""start"":74,""end"":78,""text"":""किया"",""labels"":[""VERB""]},{""start"":78,""end"":88,""text"":"" शिलान्यास"",""labels"":[""NOUN""]}]",99.257,"CM Arvind Kejriwal ने Delhi के East Vinod Nagar में नई School Building का किया शिलान्यास","2025-01-27T14:19:36.420879Z"
13,"1","2025-01-27T14:21:42.839311Z",11,"[{""start"":0,""end"":15,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":16,""end"":18,""text"":""ने"",""labels"":[""ADP""]},{""start"":19,""end"":25,""text"":""Punjab"",""labels"":[""PROPN""]},{""start"":26,""end"":30,""text"":""में "",""labels"":[""ADP""]},{""start"":30,""end"":41,""text"":""Law & Order"",""labels"":[""NOUN""]},{""start"":42,""end"":45,""text"":""में"",""labels"":[""ADP""]},{""start"":46,""end"":49,""text"":""हुए"",""labels"":[""VERB""]},{""start"":50,""end"":61,""text"":""क्रन्तिकारी"",""labels"":[""ADJ""]},{""start"":62,""end"":67,""text"":""बदलाव"",""labels"":[""NOUN""]},{""start"":67,""end"":70,""text"":"" के"",""labels"":[""ADP""]},{""start"":71,""end"":75,""text"":""बारे"",""labels"":[""PART""]},{""start"":76,""end"":80,""text"":""में "",""labels"":[""ADP""]},{""start"":80,""end"":85,""text"":""बताया"",""labels"":[""VERB""]},{""start"":86,""end"":100,""text"":""| #aap #shorts"",""labels"":[""X""]}]",125.326,"Arvind Kejriwal ने Punjab में Law & Order में हुए क्रन्तिकारी बदलाव के बारे में बताया | #aap #shorts","2025-01-27T14:21:42.839311Z"
14,"1","2025-01-27T14:23:09.296153Z",12,"[{""start"":0,""end"":15,""text"":""Hanuman Jayanti"",""labels"":[""PROPN""]},{""start"":15,""end"":18,""text"":"" | "",""labels"":[""X""]},{""start"":58,""end"":69,""text"":""#bajranbali"",""labels"":[""X""]},{""start"":18,""end"":30,""text"":""हनुमान जयंती"",""labels"":[""PROPN""]},{""start"":31,""end"":34,""text"":""पर "",""labels"":[""ADP""]},{""start"":34,""end"":49,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":49,""end"":52,""text"":"" ने"",""labels"":[""ADP""]},{""start"":53,""end"":57,""text"":""लिया"",""labels"":[""VERB""]},{""start"":70,""end"":72,""text"":""का"",""labels"":[""ADP""]},{""start"":72,""end"":81,""text"":"" आशीर्वाद"",""labels"":[""NOUN""]},{""start"":82,""end"":83,""text"":""|"",""labels"":[""X""]},{""start"":84,""end"":99,""text"":""#hanumanjayanti"",""labels"":[""X""]}]",84.404,"Hanuman Jayanti | हनुमान जयंती पर Arvind Kejriwal ने लिया #bajranbali का आशीर्वाद | #hanumanjayanti","2025-01-27T14:23:09.296153Z"
15,"1","2025-01-27T14:25:22.952332Z",13,"[{""start"":0,""end"":11,""text"":""Adani Modi "",""labels"":[""PROPN""]},{""start"":11,""end"":13,""text"":""पर"",""labels"":[""ADP""]},{""start"":14,""end"":17,""text"":""AAP"",""labels"":[""PROPN""]},{""start"":18,""end"":22,""text"":""नेता"",""labels"":[""NOUN""]},{""start"":23,""end"":35,""text"":""Sanjay Singh"",""labels"":[""PROPN""]},{""start"":35,""end"":38,""text"":"" ने"",""labels"":[""ADJ""]},{""start"":39,""end"":43,""text"":""किया"",""labels"":[""VERB""]},{""start"":44,""end"":47,""text"":""बड़ा"",""labels"":[""ADJ""]},{""start"":48,""end"":54,""text"":""खुलासा"",""labels"":[""NOUN""]},{""start"":55,""end"":56,""text"":""🔥"",""labels"":[""X""]},{""start"":57,""end"":59,""text"":""| "",""labels"":[""X""]},{""start"":59,""end"":62,""text"":""सुन"",""labels"":[""VERB""]},{""start"":62,""end"":65,""text"":"" कर"",""labels"":[""PART""]},{""start"":65,""end"":72,""text"":"" हैरान "",""labels"":[""ADJ""]},{""start"":72,""end"":74,""text"":""हो"",""labels"":[""VERB""]},{""start"":75,""end"":80,""text"":""जाओगे"",""labels"":[""VERB""]},{""start"":81,""end"":83,""text"":""आप"",""labels"":[""PRON""]}]",131.87,"Adani Modi पर AAP नेता Sanjay Singh ने किया बड़ा खुलासा 🔥 | सुन कर हैरान हो जाओगे आप","2025-01-27T14:25:22.952332Z"
16,"1","2025-01-27T14:28:12.221101Z",14,"[{""start"":0,""end"":6,""text"":""Punjab"",""labels"":[""PROPN""]},{""start"":7,""end"":10,""text"":""में"",""labels"":[""ADP""]},{""start"":10,""end"":27,""text"":"" 'CM Di Yogshala'"",""labels"":[""PROPN""]},{""start"":28,""end"":30,""text"":""के"",""labels"":[""ADP""]},{""start"":31,""end"":37,""text"":""Launch"",""labels"":[""NOUN""]},{""start"":38,""end"":40,""text"":""के"",""labels"":[""ADP""]},{""start"":41,""end"":45,""text"":""मौके"",""labels"":[""NOUN""]},{""start"":46,""end"":48,""text"":""पर"",""labels"":[""ADP""]},{""start"":49,""end"":64,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":65,""end"":67,""text"":""की"",""labels"":[""ADP""]},{""start"":68,""end"":72,""text"":""Full"",""labels"":[""ADJ""]},{""start"":73,""end"":79,""text"":""Latest"",""labels"":[""ADJ""]},{""start"":80,""end"":86,""text"":""Speech"",""labels"":[""NOUN""]},{""start"":87,""end"":88,""text"":""🔥"",""labels"":[""X""]},{""start"":88,""end"":89,""text"":""|"",""labels"":[""X""]},{""start"":90,""end"":93,""text"":""AAP"",""labels"":[""PROPN""]},{""start"":94,""end"":100,""text"":""Punjab"",""labels"":[""PROPN""]}]",167.531,"Punjab में 'CM Di Yogshala' के Launch के मौके पर Arvind Kejriwal की Full Latest Speech 🔥| AAP Punjab","2025-01-27T14:28:12.221101Z"
17,"1","2025-01-27T14:29:50.731278Z",15,"[{""start"":0,""end"":6,""text"":""Punjab"",""labels"":[""PROPN""]},{""start"":6,""end"":11,""text"":"" में "",""labels"":[""ADP""]},{""start"":11,""end"":26,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":27,""end"":29,""text"":""और"",""labels"":[""CONJ""]},{""start"":30,""end"":33,""text"":""CM "",""labels"":[""NOUN""]},{""start"":33,""end"":46,""text"":""Bhagwant Mann"",""labels"":[""PROPN""]},{""start"":47,""end"":49,""text"":""की"",""labels"":[""ADP""]},{""start"":50,""end"":66,""text"":""Press Conference"",""labels"":[""NOUN""]},{""start"":66,""end"":68,""text"":"" |"",""labels"":[""X""]},{""start"":69,""end"":84,""text"":""Aam Aadmi Party"",""labels"":[""PROPN""]},{""start"":85,""end"":91,""text"":""Punjab"",""labels"":[""PROPN""]}]",95.956,"Punjab में Arvind Kejriwal और CM Bhagwant Mann की Press Conference | Aam Aadmi Party Punjab","2025-01-27T14:29:50.731278Z"
18,"1","2025-01-27T14:31:09.701909Z",16,"[{""start"":0,""end"":15,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":16,""end"":19,""text"":""and"",""labels"":[""CONJ""]},{""start"":20,""end"":22,""text"":""CM"",""labels"":[""NOUN""]},{""start"":23,""end"":36,""text"":""Bhagwant Mann"",""labels"":[""PROPN""]},{""start"":37,""end"":39,""text"":""ने"",""labels"":[""ADP""]},{""start"":40,""end"":46,""text"":""Punjab"",""labels"":[""PROPN""]},{""start"":47,""end"":51,""text"":""में "",""labels"":[""ADP""]},{""start"":51,""end"":55,""text"":""शुरू"",""labels"":[""VERB""]},{""start"":55,""end"":58,""text"":"" की"",""labels"":[""ADP""]},{""start"":58,""end"":76,""text"":"" 'CM Di Yogshala' "",""labels"":[""PROPN""]},{""start"":76,""end"":77,""text"":""|"",""labels"":[""X""]},{""start"":78,""end"":81,""text"":""AAP"",""labels"":[""PROPN""]},{""start"":82,""end"":88,""text"":""Punjab"",""labels"":[""PROPN""]}]",77.816,"Arvind Kejriwal and CM Bhagwant Mann ने Punjab में शुरू की 'CM Di Yogshala' | AAP Punjab","2025-01-27T14:31:09.701909Z"
19,"1","2025-01-27T14:33:28.339870Z",17,"[{""start"":0,""end"":3,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":4,""end"":7,""text"":""और "",""labels"":[""CONJ""]},{""start"":7,""end"":15,""text"":""Congress"",""labels"":[""PROPN""]},{""start"":16,""end"":18,""text"":""से"",""labels"":[""ADP""]},{""start"":19,""end"":26,""text"":""परेशान "",""labels"":[""ADJ""]},{""start"":26,""end"":30,""text"":""होकर"",""labels"":[""VERB""]},{""start"":31,""end"":37,""text"":""#Assam"",""labels"":[""X""]},{""start"":38,""end"":40,""text"":""के"",""labels"":[""ADP""]},{""start"":41,""end"":46,""text"":""लोगों"",""labels"":[""NOUN""]},{""start"":46,""end"":49,""text"":"" ने"",""labels"":[""ADP""]},{""start"":50,""end"":64,""text"":""#AamAadmiParty"",""labels"":[""X""]},{""start"":65,""end"":67,""text"":""को"",""labels"":[""ADP""]},{""start"":68,""end"":75,""text"":""न्योता "",""labels"":[""NOUN""]},{""start"":75,""end"":79,""text"":""दिया"",""labels"":[""VERB""]},{""start"":79,""end"":80,""text"":"":"",""labels"":[""X""]},{""start"":81,""end"":96,""text"":""#ArvindKejriwal"",""labels"":[""X""]}]",135.235,"BJP और Congress से परेशान होकर #Assam के लोगों ने #AamAadmiParty को न्योता दिया: #ArvindKejriwal","2025-01-27T14:33:28.339870Z"
20,"1","2025-01-27T14:35:41.138974Z",18,"[{""start"":0,""end"":5,""text"":""Assam"",""labels"":[""PROPN""]},{""start"":6,""end"":8,""text"":""CM"",""labels"":[""NOUN""]},{""start"":9,""end"":11,""text"":""को"",""labels"":[""ADP""]},{""start"":12,""end"":27,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":28,""end"":30,""text"":""का"",""labels"":[""ADP""]},{""start"":30,""end"":41,""text"":"" Invitation"",""labels"":[""NOUN""]},{""start"":41,""end"":43,""text"":"", "",""labels"":[""X""]},{""start"":43,""end"":49,""text"":""शानदार"",""labels"":[""ADJ""]},{""start"":50,""end"":61,""text"":""Govt School"",""labels"":[""NOUN""]},{""start"":61,""end"":63,""text"":"" ,"",""labels"":[""X""]},{""start"":64,""end"":72,""text"":""Hospital"",""labels"":[""NOUN""]},{""start"":73,""end"":76,""text"":""और "",""labels"":[""CONJ""]},{""start"":76,""end"":90,""text"":""Mohalla Clinic"",""labels"":[""NOUN""]},{""start"":90,""end"":99,""text"":"" दिखाएंगे"",""labels"":[""VERB""]},{""start"":99,""end"":100,""text"":""!"",""labels"":[""X""]}]",130.676,"Assam CM को Arvind Kejriwal का Invitation, शानदार Govt School , Hospital और Mohalla Clinic दिखाएंगे!","2025-01-27T14:35:41.138974Z"
21,"1","2025-01-27T14:37:25.283081Z",19,"[{""start"":0,""end"":2,""text"":""PM"",""labels"":[""NOUN""]},{""start"":3,""end"":7,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":8,""end"":11,""text"":""ने "",""labels"":[""ADP""]},{""start"":11,""end"":14,""text"":""की "",""labels"":[""ADP""]},{""start"":14,""end"":17,""text"":""CBI"",""labels"":[""PROPN""]},{""start"":18,""end"":23,""text"":""तारीफ"",""labels"":[""NOUN""]},{""start"":24,""end"":36,""text"":""Sanjay Singh"",""labels"":[""PROPN""]},{""start"":37,""end"":40,""text"":""ने "",""labels"":[""ADP""]},{""start"":40,""end"":44,""text"":""किया"",""labels"":[""VERB""]},{""start"":45,""end"":51,""text"":""EXPOSE"",""labels"":[""VERB""]},{""start"":52,""end"":54,""text"":""| "",""labels"":[""X""]},{""start"":54,""end"":58,""text"":""पूछे"",""labels"":[""VERB""]},{""start"":59,""end"":63,""text"":""कड़े "",""labels"":[""ADJ""]},{""start"":63,""end"":67,""text"":""सवाल"",""labels"":[""NOUN""]},{""start"":67,""end"":69,""text"":"" |"",""labels"":[""X""]},{""start"":70,""end"":85,""text"":""Aam Aadmi Party"",""labels"":[""PROPN""]}]",101.679,"PM Modi ने की CBI तारीफ Sanjay Singh ने किया EXPOSE | पूछे कड़े सवाल | Aam Aadmi Party","2025-01-27T14:37:25.283081Z"
22,"1","2025-01-27T14:39:16.033190Z",20,"[{""start"":0,""end"":5,""text"":""Adani"",""labels"":[""PROPN""]},{""start"":6,""end"":8,""text"":""और"",""labels"":[""CONJ""]},{""start"":9,""end"":25,""text"":""Gujarat BJP Govt"",""labels"":[""PROPN""]},{""start"":25,""end"":29,""text"":"" मिल"",""labels"":[""VERB""]},{""start"":30,""end"":32,""text"":""कर"",""labels"":[""PART""]},{""start"":33,""end"":37,""text"":""जनता"",""labels"":[""NOUN""]},{""start"":38,""end"":40,""text"":""को"",""labels"":[""ADP""]},{""start"":41,""end"":44,""text"":""लूट"",""labels"":[""VERB""]},{""start"":45,""end"":48,""text"":""रहे"",""labels"":[""PART""]},{""start"":49,""end"":52,""text"":""हैं"",""labels"":[""VERB""]},{""start"":53,""end"":90,""text"":""#electricity #gujaratbjp #modi #adani"",""labels"":[""X""]}]",109.795,"Adani और Gujarat BJP Govt मिल कर जनता को लूट रहे हैं #electricity #gujaratbjp #modi #adani","2025-01-27T14:39:16.033190Z"
